Name,Type,State,County,Latitude,Longitude
Kajo-Keji High Secondary School,SEC,Central Equatoria,Kajo-Keji,3.898199273,31.62598939
Kabat Primary,PRI,Northern Bahr el Ghazal,Aweil Town,8.770833,27.392799
Akobo Primary,PRI,Jonglei,Akobo,7.790733,33.044552
Kabat Primary School,PRI,Northern Bahr el Ghazal,Aweil Centre,8.32455,27.567766
Kabi Secondary School,SEC,Central Equatoria,Kajo-Keji,3.950466667,31.53044467
Kabii Primary,PRI,Western Bahr el Ghazal,Wau,7.750067,27.757517
Kaibo Primary School,PRI,Central Equatoria,Kajo-Keji,3.78145,31.5881
Kuli Papa Basic school,PRI,Central Equatoria,Juba,4.696133,30.93265
Karibino Primary School,PRI,Warrap,Twic,9.092392105,28.31931411
Kulu Primary School,PRI,Western Equatoria,Mvolo,6.84119,30.75797
Keberek Primary School,PRI,Eastern Equatoria,Torit,4.4061,32.575401
Kapuri Basic School,PRI,Central Equatoria,Juba,4.9349,30.587566
Kur Primary School,PRI,Unity,Leer,8.3490602,30.21433
Kids Care Primary School,PRI,Central Equatoria,Morobo,3.686521259,30.81149592
Akuoc Primary School,PRI,Warrap,Tonj North,7.7686085,28.515788
Kac Beek Primary School,PRI,Warrap,Twic,9.185817,28.449083
Koch Girl Primary School,PRI,Unity,Koch,6.83705,30.991275
Akoch Primary School,PRI,Warrap,Twic,9.14105,28.019934
Koch Primary School,PRI,Unity,Koch,8.5886,30.00045
Kuachdeng Primary School,PRI,Jonglei,Ayod,7.956,31.439667
Kicenga Primary School,PRI,Eastern Equatoria,Magwi,3.77148696,32.1434993
King College Secondary,SEC,Western Equatoria,Yambio,4.5939,28.463699
Kuachlual Primary School,PRI,Unity,Koch,6.83705,30.991275
Kuoch Primary,PRI,Unity,Mayom,9.02615,28.846201
Kokokago Community School,PRI,Western Equatoria,Mundri East,5.665597167,30.65709183
Kacuat Primary School,PRI,Warrap,Tonj East,7.9414,29.172466
Koch pre primary school,PRI,Unity,Koch,6.83705,30.991275
Kada Primary School,PRI,Western Equatoria,Yambio,4.414367,28.440201
Kediba Primary School,PRI,Western Equatoria,Mundri East,5.514783,30.71825
Kuda Primary,PRI,Central Equatoria,Terekeka,5.309383,31.751699
Kidi Primary School,PRI,Western Equatoria,Yambio,4.48415,28.445351
Kudaji Primary School,PRI,Central Equatoria,Kajo-Keji,3.910067,31.548067
Kudhubhate Primary School,PRI,Jonglei,Pochalla,7.095366667,34.168116
Kudo Primary School,PRI,Eastern Equatoria,Torit,4.4117825,32.62703325
Okadi Primary School,PRI,Jonglei,Pochalla,7.208094556,34.045141
Kodati Primary School,PRI,Western Equatoria,Yambio,4.593796629,28.46359406
Kodok II primary,PRI,Upper Nile,Fashoda,9.959933,32.153618
Kadula Primary School,PRI,Lakes,Yirol West,6.54162075,30.51389975
Kulundu Primary School,PRI,Western Equatoria,Mundri West,5.661617,30.344549
Mayom Kataduet Primary School,PRI,Warrap,Gogrial West,8.529933,28.102533
Kudupi Primary School,PRI,Central Equatoria,Kajo-Keji,3.769622167,31.6643375
Kuany-Dhuor Basic School,PRI,Northern Bahr el Ghazal,Aweil East,9.328483,27.6565
Keewaji Basic School,PRI,Upper Nile,Maban,9.931767,33.693184
Koat Bech Primary School,PRI,Jonglei,Akobo,8.1594,32.238132
Kapoeta Day Secondary School,SEC,Eastern Equatoria,Kapoeta South,4.69700825,33.6108095
Kuer Gew,PRI,Jonglei,Uror (Wunror),7.782,31.785732
Kueli Primary School,PRI,Jonglei,Uror (Wunror),7.9222085,31.8864415
Kajo-Keji Progressive Secondary School,SEC,Central Equatoria,Kajo-Keji,3.785493955,31.58015764
Akekoi Primary School,PRI,Lakes,Yirol West,6.470317,30.574949
Kuel Primary School,PRI,Northern Bahr el Ghazal,Aweil East,9.246467,27.674967
