Admin1,Admin2,Admin2_Pcode,Age_Group,Population_Count
Northern Bahr el Ghazal,Aweil Centre,SS0501,Female_5_17,10501.470391879591
Northern Bahr el Ghazal,Aweil East,SS0502,Female_5_17,84298.84021323269
Northern Bahr el Ghazal,Aweil North,SS0503,Female_5_17,43879.35612246717
Northern Bahr el Ghazal,Aweil South,SS0504,Female_5_17,28653.155599445847
Northern Bahr el Ghazal,Aweil West,SS0505,Female_5_17,43072.36007341577
Unity,Abiemnhom,SS0601,Female_5_17,9655.902824859197
Unity,Guit,SS0602,Female_5_17,13889.151759695316
Unity,Koch,SS0603,Female_5_17,23261.90023384189
Unity,Leer,SS0604,Female_5_17,15794.696475450866
Unity,Mayendit,SS0605,Female_5_17,13083.01806689849
Unity,Mayom,SS0606,Female_5_17,33539.5310815399
Unity,Panyijiar,SS0607,Female_5_17,28151.294536890564
Unity,Pariang,SS0608,Female_5_17,24019.92944816956
Unity,Rubkona,SS0609,Female_5_17,60493.27453563662
Upper Nile,Baliet,SS0701,Female_5_17,17208.76191389343
Upper Nile,Fashoda,SS0702,Female_5_17,13739.115632824612
Upper Nile,Longochuk,SS0703,Female_5_17,14172.654265917476
Upper Nile,Luakpiny/Nasir,SS0704,Female_5_17,64185.740681496536
Upper Nile,Maban,SS0705,Female_5_17,17544.176410199998
Upper Nile,Maiwut,SS0706,Female_5_17,19069.110361164487
Upper Nile,Malakal,SS0707,Female_5_17,13752.369429739669
Upper Nile,Manyo,SS0708,Female_5_17,9307.711851423475
Upper Nile,Melut,SS0709,Female_5_17,25296.034544806367
Upper Nile,Panyikang,SS0710,Female_5_17,4604.2297214840255
Upper Nile,Renk,SS0711,Female_5_17,37863.15602354676
Upper Nile,Ulang,SS0712,Female_5_17,32951.19591544308
Warrap,Gogrial East,SS0801,Female_5_17,25315.759463747218
Warrap,Gogrial West,SS0802,Female_5_17,65763.12487407825
Warrap,Tonj East,SS0803,Female_5_17,37237.02166513429
Warrap,Tonj North,SS0804,Female_5_17,46967.32690964683
Warrap,Tonj South,SS0805,Female_5_17,25068.314567919253
Warrap,Twic,SS0806,Female_5_17,63876.80427647217
Western Bahr el Ghazal,Jur River,SS0901,Female_5_17,57886.56467453076
Western Bahr el Ghazal,Raja,SS0902,Female_5_17,14100.435064581528
Western Bahr el Ghazal,Wau,SS0903,Female_5_17,60956.020135916864
Western Equatoria,Ezo,SS1001,Female_5_17,25376.45885314242
Western Equatoria,Ibba,SS1002,Female_5_17,11721.000599489347
Western Equatoria,Maridi,SS1003,Female_5_17,19094.92063666405
Western Equatoria,Mundri East,SS1004,Female_5_17,12807.150551457253
Western Equatoria,Mundri West,SS1005,Female_5_17,8380.33557259985
Western Equatoria,Mvolo,SS1006,Female_5_17,13581.84840510012
Western Equatoria,Nagero,SS1007,Female_5_17,8852.471800000001
Western Equatoria,Nzara,SS1008,Female_5_17,14164.61108583706
Western Equatoria,Tambura,SS1009,Female_5_17,20034.80710486988
Western Equatoria,Yambio,SS1010,Female_5_17,25399.88923330373
,,,Female_5_17,2334265.083438514
