Admin1,Admin1_Pcode,Admin2,Admin2_Alternate_Name,Admin2_Pcode,Population - 2025,"% Male children
 under 5","No. of Male
children under 5","% Female
children under 5","No. of Female
children under 5","% Male children 
aged 5 - 17 years","No. of Male children 
aged 5 - 17 years","% Female children 
aged 5 - 17 years","No. of Female 
children aged 5 - 17 years","% Male adults 
aged 18 - 60","No. of  Male 
adults aged 18 - 60","% Female adults 
aged 18 - 60","No. of Female 
adults aged 18 - 60","% Male adults 
aged over 60","No. of Male adults 
aged over 60","% Female adults 
aged over 60","No. Female adults 
aged over 60"
Western Equatoria,SS10,Ibba,,SS1002,68543.86315490845,0.0886,6072.986275524889,0.066,4523.894968223958,0.207,14188.57967306605,0.171,11721.000599489347,0.223,15285.281483544586,0.205,14051.491946756232,0.017599999999999998,1206.3719915263887,0.0218,1494.2562167770043
Western Equatoria,SS10,Maridi,,SS1003,113863.56968791921,0.0993,11306.652470010378,0.0842,9587.312567722798,0.159,18104.307580379154,0.1677,19094.92063666405,0.188,21406.35110132881,0.239,27213.39315541269,0.01859999999999999,2117.8623961952962,0.0442,5032.769780206029
Western Equatoria,SS10,Mundri East,,SS1004,103283.47218917139,0.0988,10204.407052290133,0.0912,9419.452663652432,0.1567,16184.520092043156,0.124,12807.150551457251,0.23500000000000001,24271.615964455275,0.228,23548.631659131075,0.0368,3800.831776561507,0.0295,3046.8624295805557
Western Equatoria,SS10,Mundri West,,SS1005,51413.10167239171,0.0947,4868.8207283754955,0.0908,4668.309631853168,0.2175,11182.349613745197,0.163,8380.33557259985,0.1902,9778.771938088905,0.205,10539.685842840301,0.0154,791.7617657548324,0.0234,1203.0665791339661
Western Equatoria,SS10,Mvolo,,SS1006,77610.56231485785,0.109,8459.551292319506,0.08,6208.844985188628,0.1934,15009.882751693507,0.175,13581.848405100121,0.176,13659.45896741498,0.198,15366.891338341855,0.032999999999999995,2561.1485563903084,0.0356,2762.936018408939
Western Equatoria,SS10,Nagero,,SS1007,61561.0,0.0601,3699.8161,0.0581,3576.6940999999997,0.17600000000000002,10834.736,0.1438,8852.471800000001,0.22000000000000003,13543.420000000002,0.31,19083.91,0.024460000000000003,1505.7820600000002,0.00754,464.16994
Western Equatoria,SS10,Nzara,,SS1008,86369.5797916894,0.0942,8136.014416377141,0.113,9759.762516460902,0.1709,14760.561186399716,0.164,14164.611085837061,0.17900000000000002,15460.154782712403,0.216,18655.82923500491,0.0384,3316.591864000872,0.0245,2116.0547048963904
Western Equatoria,SS10,Tambura,,SS1009,122912.92702374156,0.1166,14331.647290968265,0.105,12905.857337492864,0.138,16961.983929276335,0.163,20034.807104869877,0.203,24951.32418581954,0.236,29007.450777603008,0.017399999999999995,2138.6849302131027,0.021,2581.171467498573
Western Equatoria,SS10,Yambio,,SS1010,173971.84406372416,0.1021,17762.525278906236,0.102,17745.12809449986,0.17,29575.21349083311,0.146,25399.889233303726,0.223,38795.72122621049,0.224,38969.69307027421,0.0132,2296.428341641159,0.0197,3427.245328055366
,,,,,13442554.284632444,0.09640384615384617,1295913.9351704319,0.08834102564102565,1187529.032739594,0.17685641025641027,2377401.8954570214,0.17364743589743584,2334265.083438514,0.19006538461538464,2554964.250321852,0.2017294871794872,2711759.5822213213,0.03404320512820513,457627.63295877504,0.03891320512820513,523092.8723249351
