school_name,name_capital letter,"name_en,C,80",school_type1,school_type2,school_type3,school_type4,school_type5,"building,C,80","operator_t,C,80",operator_type,"capacity_p,C,80","addr_full,C,80","addr_city,C,80","source,C,80","osm_id,N,18,0","osm_type,C,80"
St Augustine Nursery School Mijale,St Augustine Nursery School Mijale,,Nursery School,0,0,0,0,,private,Private,,,,,12158075353,nodes
st joseph lutaya secondary school,St Joseph Lutaya Secondary School,,0,Primary School,0,Secondary School,0,,private,Private,,,,,12158075354,nodes
St Kizito Primary School,St Kizito Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075355,nodes
St Mary's College,St Mary'S College,,0,0,College,0,0,,private,Private,,,,,12158075356,nodes
st paul secondary school,St Paul Secondary School,,0,Primary School,0,Secondary School,0,,private,Private,,,,,12158075357,nodes
St. John Bugo Nursery And Primary School,St. John Bugo Nursery And Primary School,,Nursery School,Primary School,0,0,0,,community,Community,,,,,12158075358,nodes
St. Joseph Basic School,St. Joseph Basic School,,0,Primary School,0,0,0,,public,Public,,,,,12158075359,nodes
St.Mark Nursery School Kololo,St.Mark Nursery School Kololo,,Nursery School,0,0,0,0,,public,Public,,,,,12158075360,nodes
Stordy Nursery & primary School,Stordy Nursery & Primary School,,Nursery School,Primary School,0,0,0,,public,Public,,,,,12158075361,nodes
Swinga Primary School,Swinga Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075362,nodes
Take Care Nursery School,Take Care Nursery School,,Nursery School,0,0,0,0,,public,Public,,,,,12158075363,nodes
Tendele Community School,Tendele Community School,,0,0,0,0,Other or Unknown,,private,Private,,,,,12158075364,nodes
Tororo Primary School,Tororo Primary School,,0,Primary School,0,0,0,,public,Public,,,,,12158075365,nodes
True Light nursery and primary school,True Light Nursery And Primary School,,Nursery School,Primary School,0,0,0,,public,Public,,,,,12158075366,nodes
Ubbi Primary School,Ubbi Primary School,,0,Primary School,0,0,0,,religious,Religious,,,,,12158075367,nodes
University of Juba.College of comunity Studies and rural development,University Of Juba.College Of Comunity Studies And Rural Development,,0,Primary School,College,0,0,,,0,,,,,8974878509,nodes
Upper primary school,Upper Primary School,,0,Primary School,0,0,0,,religious,Religious,,,,,8963517703,nodes
Uyon primary sch,Uyon Primary Sch,,0,Primary School,0,0,0,,,0,,,,,12161426940,nodes
Wardoper Family Care Nursery School,Wardoper Family Care Nursery School,,Nursery School,Primary School,0,0,0,,,0,,,,,12161426942,nodes
Yei Day Secondary School,Yei Day Secondary School,,0,0,0,Secondary School,0,,,0,,,,,9126530417,nodes
